Gradient Profiler Text Data File: 4.24.140128_samp3.csv
Date: 2014-01-28
Time: 18:03:16

User: MK
Experiment name: 4.24.140128
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
7.59, 0.129534, , 
7.61, 0.128757, , 
7.63, 0.127972, , 
7.64, 0.127341, , 
7.66, 0.126643, , 
7.68, 0.125961, , 
7.70, 0.125208, , 
7.71, 0.124720, , 
7.73, 0.124225, , 
7.74, 0.123571, , 
7.76, 0.122849, , 
7.78, 0.122155, , 
7.79, 0.121652, , 
7.81, 0.121049, , 
7.83, 0.120399, , 
7.84, 0.119760, , 
7.86, 0.119166, , 
7.88, 0.118825, , 
7.89, 0.118317, , 
7.91, 0.117667, , 
7.93, 0.116894, , 
7.94, 0.116247, , 
7.96, 0.115887, , 
7.98, 0.115387, , 
7.99, 0.114638, , 
8.01, 0.113761, , 
8.03, 0.112992, , 
8.04, 0.112643, , 
8.06, 0.112290, , 
8.08, 0.111767, , 
8.10, 0.111145, , 
8.11, 0.110665, , 
8.13, 0.110161, , 
8.14, 0.109559, , 
8.16, 0.108881, , 
8.18, 0.108242, , 
8.19, 0.107659, , 
8.21, 0.106942, , 
8.23, 0.106311, , 
8.24, 0.105732, , 
8.26, 0.105098, , 
8.28, 0.104832, , 
8.29, 0.104487, , 
8.31, 0.103932, , 
8.33, 0.103223, , 
8.34, 0.102695, , 
8.36, 0.102243, , 
8.38, 0.101851, , 
8.39, 0.101407, , 
8.41, 0.100745, , 
8.43, 0.100225, , 
8.44, 0.099817, , 
8.46, 0.099349, , 
8.48, 0.098861, , 
8.49, 0.098342, , 
8.51, 0.098052, , 
8.53, 0.097787, , 
8.54, 0.097394, , 
8.56, 0.096879, , 
8.58, 0.096336, , 
8.59, 0.095927, , 
8.61, 0.095467, , 
8.63, 0.094845, , 
8.64, 0.094258, , 
8.66, 0.093778, , 
8.68, 0.093620, , 
8.69, 0.093477, , 
8.71, 0.093172, , 
8.73, 0.092613, , 
8.74, 0.092133, , 
8.76, 0.091780, , 
8.78, 0.091538, , 
8.79, 0.091161, , 
8.81, 0.090630, , 
8.83, 0.090242, , 
8.84, 0.089952, , 
8.86, 0.089675, , 
8.88, 0.089286, , 
8.89, 0.088775, , 
8.91, 0.088315, , 
8.93, 0.087867, , 
8.94, 0.087450, , 
8.96, 0.086990, , 
8.98, 0.086546, , 
8.99, 0.086201, , 
9.01, 0.085809, , 
9.03, 0.085404, , 
9.04, 0.084933, , 
9.06, 0.084564, , 
9.08, 0.084389, , 
9.09, 0.084282, , 
9.11, 0.084052, , 
9.13, 0.083525, , 
9.14, 0.082970, , 
9.16, 0.082526, , 
9.18, 0.082236, , 
9.19, 0.081987, , 
9.21, 0.081546, , 
9.23, 0.081138, , 
9.24, 0.080785, , 
9.26, 0.080444, , 
9.28, 0.080048, , 
9.29, 0.079560, , 
9.31, 0.079215, , 
9.33, 0.079049, , 
9.34, 0.078914, , 
9.36, 0.078601, , 
9.38, 0.078018, , 
9.39, 0.077665, , 
9.41, 0.077486, , 
9.43, 0.077352, , 
9.45, 0.076975, , 
9.46, 0.076574, , 
9.48, 0.076237, , 
9.49, 0.075996, , 
9.51, 0.075789, , 
9.53, 0.075456, , 
9.54, 0.075155, , 
9.56, 0.074866, , 
9.58, 0.074663, , 
9.59, 0.074445, , 
9.61, 0.074128, , 
9.63, 0.073870, , 
9.64, 0.073783, , 
9.66, 0.073688, , 
9.68, 0.073462, , 
9.69, 0.073149, , 
9.71, 0.072855, , 
9.73, 0.072653, , 
9.74, 0.072550, , 
9.76, 0.072320, , 
9.78, 0.071888, , 
9.79, 0.071662, , 
9.81, 0.071602, , 
9.83, 0.071484, , 
9.85, 0.071059, , 
9.86, 0.070603, , 
9.88, 0.070270, , 
9.89, 0.070135, , 
9.91, 0.070052, , 
9.93, 0.069739, , 
9.94, 0.069398, , 
9.96, 0.068982, , 
9.98, 0.068752, , 
9.99, 0.068581, , 
10.01, 0.068034, , 
10.03, 0.067661, , 
10.04, 0.067439, , 
10.06, 0.067443, , 
10.08, 0.067416, , 
10.09, 0.067221, , 
10.11, 0.067059, , 
10.13, 0.066932, , 
10.14, 0.066936, , 
10.16, 0.066817, , 
10.18, 0.066357, , 
10.19, 0.066016, , 
10.21, 0.065853, , 
10.23, 0.065905, , 
10.25, 0.065841, , 
10.26, 0.065552, , 
10.28, 0.065231, , 
10.29, 0.064961, , 
10.31, 0.064937, , 
10.33, 0.064894, , 
10.34, 0.064644, , 
10.36, 0.064331, , 
10.38, 0.064133, , 
10.39, 0.063966, , 
10.41, 0.063780, , 
10.43, 0.063566, , 
10.44, 0.063272, , 
10.46, 0.063090, , 
10.48, 0.062987, , 
10.49, 0.062658, , 
10.51, 0.062325, , 
10.53, 0.062138, , 
10.54, 0.062063, , 
10.56, 0.061670, , 
10.58, 0.061246, , 
10.59, 0.061222, , 
10.61, 0.061290, , 
10.63, 0.061393, , 
10.64, 0.061397, , 
10.66, 0.061218, , 
10.68, 0.060945, , 
10.69, 0.060790, , 
10.71, 0.060798, , 
10.73, 0.060786, , 
10.74, 0.060501, , 
10.76, 0.060195, , 
10.78, 0.060112, , 
10.79, 0.060120, , 
10.81, 0.060009, , 
10.83, 0.059807, , 
10.84, 0.059573, , 
10.86, 0.059430, , 
10.88, 0.059307, , 
10.89, 0.059101, , 
10.91, 0.058835, , 
10.93, 0.058574, , 
10.94, 0.058479, , 
10.96, 0.058483, , 
10.98, 0.058316, , 
10.99, 0.057852, , 
11.01, 0.057360, , 
11.03, 0.057222, , 
11.04, 0.057305, , 
11.06, 0.057329, , 
11.08, 0.057218, , 
11.09, 0.057008, , 
11.11, 0.056877, , 
11.13, 0.056905, , 
11.14, 0.056762, , 
11.16, 0.056492, , 
11.18, 0.056278, , 
11.19, 0.056238, , 
11.21, 0.056092, , 
11.23, 0.055842, , 
