Gradient Profiler Text Data File: 4.24.140214_r1_s1.csv
Date: 2014-02-14
Time: 17:32:53

User: MK
Experiment name: test
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35 rpm
Gradient: 11 10.0% to 50.0% w/v
Time: 3
w2t: 1 x 10^0
Sample Volume: 0.9 ml
Number of Tubes: 6
Volume per mm: 0.143 ml/mm

Absorbance Units Full Scale (AUFS): 2.00
Event Mark-triggered gradient; (with distance; auto start and stop)
Delay: Event Mark Delay
UV Wavelength: 254 nm
Samples / sec: 12 Hz
EM1 Speed: 0.20 mm/sec
Distance: 72.00 mm
Number: 1
Dead Volume: 0.241868 ml; Distance due to Dead Volume: 1.69 mm
Total Distance: 72.00 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
4.76, 0.272291, , 
4.78, 0.270066, , 
4.79, 0.267830, , 
4.81, 0.265344, , 
4.83, 0.263489, , 
4.84, 0.261546, , 
4.86, 0.259464, , 
4.88, 0.257395, , 
4.89, 0.255131, , 
4.91, 0.253334, , 
4.93, 0.251415, , 
4.94, 0.249473, , 
4.96, 0.247462, , 
4.98, 0.244965, , 
4.99, 0.242998, , 
5.01, 0.241047, , 
5.03, 0.239204, , 
5.05, 0.237201, , 
5.06, 0.235595, , 
5.08, 0.233791, , 
5.09, 0.231900, , 
5.11, 0.230096, , 
5.13, 0.228094, , 
5.14, 0.226520, , 
5.16, 0.224898, , 
5.18, 0.223161, , 
5.19, 0.221353, , 
5.21, 0.219478, , 
5.23, 0.218114, , 
5.24, 0.216489, , 
5.26, 0.214815, , 
5.28, 0.213400, , 
5.29, 0.211937, , 
5.31, 0.210727, , 
5.33, 0.209324, , 
5.34, 0.207908, , 
5.36, 0.206659, , 
5.38, 0.205315, , 
5.39, 0.203967, , 
5.41, 0.202397, , 
5.43, 0.200823, , 
5.45, 0.199213, , 
5.46, 0.197984, , 
5.48, 0.196541, , 
5.49, 0.194963, , 
5.51, 0.193429, , 
5.53, 0.191787, , 
5.54, 0.190383, , 
5.56, 0.188877, , 
5.58, 0.187362, , 
